geoName,Trump,Clinton
Alabama,60,40
Alaska,63,37
Arizona,64,36
Arkansas,57,43
California,66,34
Colorado,68,32
Connecticut,60,40
Delaware,63,37
District of Columbia,67,33
Florida,69,31
Georgia,65,35
Hawaii,78,22
Idaho,63,37
Illinois,66,34
Indiana,67,33
Iowa,50,50
Kansas,55,45
Kentucky,61,39
Louisiana,57,43
Maine,52,48
Maryland,59,41
Massachusetts,66,34
Michigan,57,43
Minnesota,65,35
Mississippi,38,62
Missouri,62,38
Montana,68,32
Nebraska,63,37
Nevada,68,32
New Hampshire,63,37
New Jersey,68,32
New Mexico,66,34
New York,66,34
North Carolina,61,39
North Dakota,76,24
Ohio,60,40
Oklahoma,64,36
Oregon,68,32
Pennsylvania,70,30
Rhode Island,66,34
South Carolina,67,33
South Dakota,56,44
Tennessee,59,41
Texas,64,36
Utah,60,40
Vermont,55,45
Virginia,62,38
Washington,67,33
West Virginia,70,30
Wisconsin,69,31
Wyoming,61,39
