geoName,Trump,Clinton
Alabama,58,42
Alaska,61,39
Arizona,64,36
Arkansas,50,50
California,68,32
Colorado,65,35
Connecticut,53,47
Delaware,63,37
District of Columbia,63,37
Florida,68,32
Georgia,60,40
Hawaii,60,40
Idaho,57,43
Illinois,65,35
Indiana,62,38
Iowa,57,43
Kansas,65,35
Kentucky,65,35
Louisiana,58,42
Maine,58,42
Maryland,59,41
Massachusetts,62,38
Michigan,52,48
Minnesota,67,33
Mississippi,47,53
Missouri,59,41
Montana,61,39
Nebraska,68,32
Nevada,77,23
New Hampshire,59,41
New Jersey,62,38
New Mexico,62,38
New York,64,36
North Carolina,62,38
North Dakota,73,27
Ohio,58,42
Oklahoma,51,49
Oregon,71,29
Pennsylvania,63,37
Rhode Island,62,38
South Carolina,58,42
South Dakota,41,59
Tennessee,54,46
Texas,66,34
Utah,62,38
Vermont,61,39
Virginia,67,33
Washington,69,31
West Virginia,68,32
Wisconsin,62,38
Wyoming,100,0
