geoName,Trump,Clinton
Alabama,73,27
Alaska,66,34
Arizona,69,31
Arkansas,62,38
California,76,24
Colorado,70,30
Connecticut,75,25
Delaware,69,31
District of Columbia,76,24
Florida,74,26
Georgia,72,28
Hawaii,70,30
Idaho,83,17
Illinois,71,29
Indiana,67,33
Iowa,62,38
Kansas,68,32
Kentucky,73,27
Louisiana,72,28
Maine,73,27
Maryland,74,26
Massachusetts,76,24
Michigan,66,34
Minnesota,77,23
Mississippi,48,52
Missouri,70,30
Montana,76,24
Nebraska,70,30
Nevada,69,31
New Hampshire,74,26
New Jersey,72,28
New Mexico,74,26
New York,76,24
North Carolina,68,32
North Dakota,69,31
Ohio,72,28
Oklahoma,64,36
Oregon,73,27
Pennsylvania,70,30
Rhode Island,78,22
South Carolina,70,30
South Dakota,67,33
Tennessee,67,33
Texas,74,26
Utah,79,21
Vermont,71,29
Virginia,71,29
Washington,80,20
West Virginia,72,28
Wisconsin,69,31
Wyoming,69,31
