geoName,Trump,Clinton
Alabama,53,47
Alaska,44,56
Arizona,68,32
Arkansas,59,41
California,67,33
Colorado,72,28
Connecticut,63,37
Delaware,68,32
District of Columbia,66,34
Florida,64,36
Georgia,64,36
Hawaii,71,29
Idaho,64,36
Illinois,62,38
Indiana,59,41
Iowa,45,55
Kansas,46,54
Kentucky,64,36
Louisiana,66,34
Maine,60,40
Maryland,63,37
Massachusetts,62,38
Michigan,62,38
Minnesota,67,33
Mississippi,46,54
Missouri,59,41
Montana,69,31
Nebraska,68,32
Nevada,64,36
New Hampshire,63,37
New Jersey,63,37
New Mexico,67,33
New York,64,36
North Carolina,61,39
North Dakota,79,21
Ohio,59,41
Oklahoma,55,45
Oregon,65,35
Pennsylvania,65,35
Rhode Island,72,28
South Carolina,59,41
South Dakota,61,39
Tennessee,57,43
Texas,64,36
Utah,62,38
Vermont,79,21
Virginia,68,32
Washington,73,27
West Virginia,54,46
Wisconsin,70,30
Wyoming,48,52
