geoName,Trump,Clinton
Alabama,68,32
Alaska,62,38
Arizona,72,28
Arkansas,60,40
California,76,24
Colorado,75,25
Connecticut,79,21
Delaware,78,22
District of Columbia,70,30
Florida,77,23
Georgia,73,27
Hawaii,75,25
Idaho,71,29
Illinois,70,30
Indiana,71,29
Iowa,52,48
Kansas,71,29
Kentucky,68,32
Louisiana,72,28
Maine,75,25
Maryland,72,28
Massachusetts,72,28
Michigan,64,36
Minnesota,71,29
Mississippi,56,44
Missouri,71,29
Montana,81,19
Nebraska,67,33
Nevada,79,21
New Hampshire,75,25
New Jersey,78,22
New Mexico,74,26
New York,78,22
North Carolina,72,28
North Dakota,71,29
Ohio,68,32
Oklahoma,61,39
Oregon,75,25
Pennsylvania,76,24
Rhode Island,71,29
South Carolina,65,35
South Dakota,70,30
Tennessee,60,40
Texas,73,27
Utah,65,35
Vermont,70,30
Virginia,75,25
Washington,71,29
West Virginia,76,24
Wisconsin,70,30
Wyoming,65,35
