geoName,Trump,Clinton
Alabama,59,41
Alaska,78,22
Arizona,54,46
Arkansas,60,40
California,62,38
Colorado,63,37
Connecticut,58,42
Delaware,60,40
District of Columbia,60,40
Florida,61,39
Georgia,60,40
Hawaii,51,49
Idaho,64,36
Illinois,59,41
Indiana,59,41
Iowa,58,42
Kansas,60,40
Kentucky,61,39
Louisiana,52,48
Maine,62,38
Maryland,61,39
Massachusetts,58,42
Michigan,54,46
Minnesota,64,36
Mississippi,58,42
Missouri,57,43
Montana,46,54
Nebraska,58,42
Nevada,62,38
New Hampshire,67,33
New Jersey,61,39
New Mexico,60,40
New York,59,41
North Carolina,60,40
North Dakota,66,34
Ohio,58,42
Oklahoma,53,47
Oregon,63,37
Pennsylvania,63,37
Rhode Island,61,39
South Carolina,61,39
South Dakota,46,54
Tennessee,57,43
Texas,61,39
Utah,59,41
Vermont,81,19
Virginia,57,43
Washington,61,39
West Virginia,62,38
Wisconsin,59,41
Wyoming,39,61
