geoName,Trump,Clinton
Alabama,59,41
Alaska,76,24
Arizona,63,37
Arkansas,64,36
California,69,31
Colorado,65,35
Connecticut,64,36
Delaware,76,24
District of Columbia,68,32
Florida,69,31
Georgia,65,35
Hawaii,61,39
Idaho,76,24
Illinois,60,40
Indiana,66,34
Iowa,57,43
Kansas,57,43
Kentucky,65,35
Louisiana,58,42
Maine,68,32
Maryland,67,33
Massachusetts,63,37
Michigan,61,39
Minnesota,68,32
Mississippi,36,64
Missouri,64,36
Montana,51,49
Nebraska,65,35
Nevada,70,30
New Hampshire,76,24
New Jersey,63,37
New Mexico,54,46
New York,67,33
North Carolina,67,33
North Dakota,61,39
Ohio,58,42
Oklahoma,58,42
Oregon,64,36
Pennsylvania,65,35
Rhode Island,74,26
South Carolina,57,43
South Dakota,62,38
Tennessee,55,45
Texas,65,35
Utah,64,36
Vermont,66,34
Virginia,67,33
Washington,72,28
West Virginia,56,44
Wisconsin,54,46
Wyoming,92,8
