geoName,Trump,Clinton
Alabama,66,34
Alaska,75,25
Arizona,75,25
Arkansas,65,35
California,75,25
Colorado,75,25
Connecticut,71,29
Delaware,72,28
District of Columbia,72,28
Florida,73,27
Georgia,73,27
Hawaii,63,37
Idaho,74,26
Illinois,73,27
Indiana,70,30
Iowa,65,35
Kansas,73,27
Kentucky,67,33
Louisiana,62,38
Maine,71,29
Maryland,71,29
Massachusetts,74,26
Michigan,69,31
Minnesota,72,28
Mississippi,60,40
Missouri,67,33
Montana,85,15
Nebraska,75,25
Nevada,71,29
New Hampshire,65,35
New Jersey,70,30
New Mexico,74,26
New York,76,24
North Carolina,70,30
North Dakota,69,31
Ohio,70,30
Oklahoma,69,31
Oregon,72,28
Pennsylvania,73,27
Rhode Island,63,37
South Carolina,70,30
South Dakota,66,34
Tennessee,69,31
Texas,73,27
Utah,66,34
Vermont,76,24
Virginia,70,30
Washington,77,23
West Virginia,70,30
Wisconsin,75,25
Wyoming,66,34
