geoName,Trump,Clinton
Alabama,68,32
Alaska,76,24
Arizona,76,24
Arkansas,58,42
California,77,23
Colorado,70,30
Connecticut,62,38
Delaware,86,14
District of Columbia,70,30
Florida,71,29
Georgia,72,28
Hawaii,61,39
Idaho,67,33
Illinois,67,33
Indiana,70,30
Iowa,48,52
Kansas,68,32
Kentucky,77,23
Louisiana,58,42
Maine,77,23
Maryland,59,41
Massachusetts,71,29
Michigan,64,36
Minnesota,74,26
Mississippi,50,50
Missouri,59,41
Montana,69,31
Nebraska,70,30
Nevada,73,27
New Hampshire,68,32
New Jersey,71,29
New Mexico,85,15
New York,71,29
North Carolina,62,38
North Dakota,69,31
Ohio,63,37
Oklahoma,61,39
Oregon,79,21
Pennsylvania,73,27
Rhode Island,80,20
South Carolina,67,33
South Dakota,42,58
Tennessee,60,40
Texas,72,28
Utah,68,32
Vermont,71,29
Virginia,73,27
Washington,74,26
West Virginia,52,48
Wisconsin,77,23
Wyoming,77,23
