geoName,Trump,Clinton
Alabama,35,65
Alaska,49,51
Arizona,35,65
Arkansas,32,68
California,41,59
Colorado,40,60
Connecticut,36,64
Delaware,37,63
District of Columbia,36,64
Florida,35,65
Georgia,31,69
Hawaii,45,55
Idaho,36,64
Illinois,36,64
Indiana,39,61
Iowa,35,65
Kansas,39,61
Kentucky,34,66
Louisiana,33,67
Maine,33,67
Maryland,37,63
Massachusetts,33,67
Michigan,35,65
Minnesota,40,60
Mississippi,24,76
Missouri,36,64
Montana,39,61
Nebraska,30,70
Nevada,37,63
New Hampshire,35,65
New Jersey,36,64
New Mexico,36,64
New York,37,63
North Carolina,40,60
North Dakota,28,72
Ohio,41,59
Oklahoma,34,66
Oregon,38,62
Pennsylvania,38,62
Rhode Island,34,66
South Carolina,32,68
South Dakota,40,60
Tennessee,31,69
Texas,36,64
Utah,33,67
Vermont,27,73
Virginia,37,63
Washington,40,60
West Virginia,40,60
Wisconsin,37,63
Wyoming,34,66
