geoName,Trump,Clinton
Alabama,66,34
Alaska,70,30
Arizona,64,36
Arkansas,65,35
California,69,31
Colorado,66,34
Connecticut,58,42
Delaware,73,27
District of Columbia,63,37
Florida,70,30
Georgia,69,31
Hawaii,68,32
Idaho,70,30
Illinois,69,31
Indiana,60,40
Iowa,49,51
Kansas,71,29
Kentucky,70,30
Louisiana,66,34
Maine,68,32
Maryland,62,38
Massachusetts,66,34
Michigan,59,41
Minnesota,71,29
Mississippi,53,47
Missouri,60,40
Montana,62,38
Nebraska,54,46
Nevada,66,34
New Hampshire,62,38
New Jersey,66,34
New Mexico,69,31
New York,71,29
North Carolina,65,35
North Dakota,68,32
Ohio,60,40
Oklahoma,67,33
Oregon,67,33
Pennsylvania,68,32
Rhode Island,54,46
South Carolina,63,37
South Dakota,71,29
Tennessee,57,43
Texas,65,35
Utah,60,40
Vermont,63,37
Virginia,71,29
Washington,71,29
West Virginia,60,40
Wisconsin,74,26
Wyoming,81,19
