geoName,Trump,Clinton
Alabama,72,28
Alaska,69,31
Arizona,74,26
Arkansas,62,38
California,73,27
Colorado,76,24
Connecticut,67,33
Delaware,82,18
District of Columbia,67,33
Florida,68,32
Georgia,72,28
Hawaii,75,25
Idaho,71,29
Illinois,67,33
Indiana,66,34
Iowa,53,47
Kansas,67,33
Kentucky,72,28
Louisiana,69,31
Maine,72,28
Maryland,67,33
Massachusetts,70,30
Michigan,70,30
Minnesota,71,29
Mississippi,51,49
Missouri,67,33
Montana,85,15
Nebraska,68,32
Nevada,71,29
New Hampshire,72,28
New Jersey,71,29
New Mexico,63,37
New York,71,29
North Carolina,68,32
North Dakota,75,25
Ohio,72,28
Oklahoma,61,39
Oregon,71,29
Pennsylvania,70,30
Rhode Island,79,21
South Carolina,69,31
South Dakota,69,31
Tennessee,71,29
Texas,70,30
Utah,62,38
Vermont,86,14
Virginia,70,30
Washington,72,28
West Virginia,65,35
Wisconsin,73,27
Wyoming,87,13
