geoName,Trump,Clinton
Alabama,79,21
Alaska,77,23
Arizona,78,22
Arkansas,68,32
California,80,20
Colorado,76,24
Connecticut,57,43
Delaware,79,21
District of Columbia,75,25
Florida,78,22
Georgia,76,24
Hawaii,88,12
Idaho,76,24
Illinois,76,24
Indiana,73,27
Iowa,56,44
Kansas,72,28
Kentucky,81,19
Louisiana,85,15
Maine,77,23
Maryland,77,23
Massachusetts,71,29
Michigan,69,31
Minnesota,80,20
Mississippi,53,47
Missouri,74,26
Montana,74,26
Nebraska,81,19
Nevada,80,20
New Hampshire,77,23
New Jersey,76,24
New Mexico,82,18
New York,78,22
North Carolina,76,24
North Dakota,85,15
Ohio,69,31
Oklahoma,70,30
Oregon,80,20
Pennsylvania,77,23
Rhode Island,80,20
South Carolina,69,31
South Dakota,76,24
Tennessee,63,37
Texas,78,22
Utah,79,21
Vermont,71,29
Virginia,83,17
Washington,80,20
West Virginia,73,27
Wisconsin,82,18
Wyoming,80,20
