geoName,Trump,Clinton
Alabama,30,70
Alaska,37,63
Arizona,29,71
Arkansas,30,70
California,35,65
Colorado,34,66
Connecticut,35,65
Delaware,24,76
District of Columbia,40,60
Florida,37,63
Georgia,30,70
Hawaii,31,69
Idaho,22,78
Illinois,31,69
Indiana,33,67
Iowa,30,70
Kansas,30,70
Kentucky,29,71
Louisiana,32,68
Maine,32,68
Maryland,42,58
Massachusetts,35,65
Michigan,24,76
Minnesota,34,66
Mississippi,23,77
Missouri,28,72
Montana,25,75
Nebraska,31,69
Nevada,36,64
New Hampshire,33,67
New Jersey,31,69
New Mexico,39,61
New York,34,66
North Carolina,39,61
North Dakota,29,71
Ohio,30,70
Oklahoma,19,81
Oregon,30,70
Pennsylvania,32,68
Rhode Island,38,62
South Carolina,31,69
South Dakota,49,51
Tennessee,34,66
Texas,28,72
Utah,28,72
Vermont,19,81
Virginia,34,66
Washington,34,66
West Virginia,42,58
Wisconsin,26,74
Wyoming,39,61
