geoName,Trump,Clinton
Alabama,83,17
Alaska,83,17
Arizona,69,31
Arkansas,62,38
California,75,25
Colorado,72,28
Connecticut,69,31
Delaware,56,44
District of Columbia,67,33
Florida,73,27
Georgia,70,30
Hawaii,85,15
Idaho,63,37
Illinois,69,31
Indiana,68,32
Iowa,50,50
Kansas,71,29
Kentucky,64,36
Louisiana,66,34
Maine,72,28
Maryland,68,32
Massachusetts,72,28
Michigan,64,36
Minnesota,68,32
Mississippi,48,52
Missouri,65,35
Montana,62,38
Nebraska,66,34
Nevada,74,26
New Hampshire,71,29
New Jersey,73,27
New Mexico,85,15
New York,71,29
North Carolina,69,31
North Dakota,68,32
Ohio,63,37
Oklahoma,53,47
Oregon,72,28
Pennsylvania,71,29
Rhode Island,70,30
South Carolina,69,31
South Dakota,46,54
Tennessee,62,38
Texas,74,26
Utah,61,39
Vermont,74,26
Virginia,71,29
Washington,74,26
West Virginia,67,33
Wisconsin,68,32
Wyoming,60,40
