geoName,Trump,Clinton
Alabama,77,23
Alaska,59,41
Arizona,67,33
Arkansas,58,42
California,73,27
Colorado,66,34
Connecticut,70,30
Delaware,74,26
District of Columbia,60,40
Florida,68,32
Georgia,71,29
Hawaii,76,24
Idaho,65,35
Illinois,68,32
Indiana,69,31
Iowa,53,47
Kansas,77,23
Kentucky,67,33
Louisiana,67,33
Maine,64,36
Maryland,71,29
Massachusetts,71,29
Michigan,62,38
Minnesota,63,37
Mississippi,45,55
Missouri,66,34
Montana,70,30
Nebraska,80,20
Nevada,76,24
New Hampshire,64,36
New Jersey,65,35
New Mexico,80,20
New York,73,27
North Carolina,70,30
North Dakota,44,56
Ohio,60,40
Oklahoma,63,37
Oregon,74,26
Pennsylvania,70,30
Rhode Island,72,28
South Carolina,59,41
South Dakota,79,21
Tennessee,62,38
Texas,68,32
Utah,72,28
Vermont,72,28
Virginia,65,35
Washington,71,29
West Virginia,80,20
Wisconsin,72,28
Wyoming,73,27
