geoName,Trump,Clinton
Alabama,49,51
Alaska,54,46
Arizona,61,39
Arkansas,61,39
California,63,37
Colorado,65,35
Connecticut,59,41
Delaware,86,14
District of Columbia,56,44
Florida,63,37
Georgia,66,34
Hawaii,57,43
Idaho,63,37
Illinois,60,40
Indiana,63,37
Iowa,41,59
Kansas,61,39
Kentucky,59,41
Louisiana,59,41
Maine,71,29
Maryland,59,41
Massachusetts,62,38
Michigan,51,49
Minnesota,52,48
Mississippi,38,62
Missouri,59,41
Montana,49,51
Nebraska,71,29
Nevada,75,25
New Hampshire,56,44
New Jersey,59,41
New Mexico,68,32
New York,59,41
North Carolina,62,38
North Dakota,51,49
Ohio,60,40
Oklahoma,57,43
Oregon,64,36
Pennsylvania,64,36
Rhode Island,75,25
South Carolina,66,34
South Dakota,81,19
Tennessee,55,45
Texas,58,42
Utah,53,47
Vermont,51,49
Virginia,62,38
Washington,67,33
West Virginia,82,18
Wisconsin,57,43
Wyoming,38,62
