geoName,Trump,Clinton
Alabama,51,49
Alaska,44,56
Arizona,57,43
Arkansas,54,46
California,59,41
Colorado,60,40
Connecticut,54,46
Delaware,57,43
District of Columbia,56,44
Florida,55,45
Georgia,53,47
Hawaii,61,39
Idaho,64,36
Illinois,60,40
Indiana,61,39
Iowa,45,55
Kansas,56,44
Kentucky,48,52
Louisiana,56,44
Maine,53,47
Maryland,53,47
Massachusetts,55,45
Michigan,56,44
Minnesota,54,46
Mississippi,39,61
Missouri,54,46
Montana,60,40
Nebraska,56,44
Nevada,64,36
New Hampshire,55,45
New Jersey,56,44
New Mexico,61,39
New York,58,42
North Carolina,53,47
North Dakota,45,55
Ohio,52,48
Oklahoma,56,44
Oregon,62,38
Pennsylvania,57,43
Rhode Island,58,42
South Carolina,48,52
South Dakota,55,45
Tennessee,50,50
Texas,57,43
Utah,58,42
Vermont,69,31
Virginia,58,42
Washington,57,43
West Virginia,69,31
Wisconsin,54,46
Wyoming,66,34
