geoName,Trump,Clinton
Alabama,68,32
Alaska,74,26
Arizona,78,22
Arkansas,74,26
California,78,22
Colorado,75,25
Connecticut,69,31
Delaware,83,17
District of Columbia,73,27
Florida,77,23
Georgia,77,23
Hawaii,83,17
Idaho,70,30
Illinois,72,28
Indiana,71,29
Iowa,63,37
Kansas,77,23
Kentucky,73,27
Louisiana,69,31
Maine,74,26
Maryland,79,21
Massachusetts,75,25
Michigan,71,29
Minnesota,79,21
Mississippi,56,44
Missouri,70,30
Montana,69,31
Nebraska,73,27
Nevada,76,24
New Hampshire,70,30
New Jersey,75,25
New Mexico,73,27
New York,76,24
North Carolina,70,30
North Dakota,79,21
Ohio,68,32
Oklahoma,73,27
Oregon,77,23
Pennsylvania,77,23
Rhode Island,74,26
South Carolina,74,26
South Dakota,65,35
Tennessee,63,37
Texas,75,25
Utah,65,35
Vermont,81,19
Virginia,78,22
Washington,76,24
West Virginia,77,23
Wisconsin,72,28
Wyoming,77,23
