geoName,Trump,Clinton
Alabama,67,33
Alaska,82,18
Arizona,78,22
Arkansas,55,45
California,75,25
Colorado,75,25
Connecticut,65,35
Delaware,76,24
District of Columbia,71,29
Florida,71,29
Georgia,69,31
Hawaii,73,27
Idaho,70,30
Illinois,71,29
Indiana,67,33
Iowa,48,52
Kansas,77,23
Kentucky,67,33
Louisiana,72,28
Maine,75,25
Maryland,72,28
Massachusetts,74,26
Michigan,68,32
Minnesota,73,27
Mississippi,51,49
Missouri,68,32
Montana,67,33
Nebraska,66,34
Nevada,75,25
New Hampshire,83,17
New Jersey,73,27
New Mexico,75,25
New York,75,25
North Carolina,72,28
North Dakota,77,23
Ohio,65,35
Oklahoma,64,36
Oregon,75,25
Pennsylvania,72,28
Rhode Island,77,23
South Carolina,66,34
South Dakota,59,41
Tennessee,64,36
Texas,71,29
Utah,70,30
Vermont,66,34
Virginia,72,28
Washington,73,27
West Virginia,75,25
Wisconsin,77,23
Wyoming,54,46
