geoName,Trump,Clinton
Alabama,56,44
Alaska,60,40
Arizona,50,50
Arkansas,43,57
California,53,47
Colorado,54,46
Connecticut,56,44
Delaware,63,37
District of Columbia,57,43
Florida,57,43
Georgia,52,48
Hawaii,56,44
Idaho,55,45
Illinois,50,50
Indiana,50,50
Iowa,44,56
Kansas,59,41
Kentucky,45,55
Louisiana,49,51
Maine,64,36
Maryland,56,44
Massachusetts,52,48
Michigan,51,49
Minnesota,56,44
Mississippi,37,63
Missouri,44,56
Montana,50,50
Nebraska,66,34
Nevada,49,51
New Hampshire,63,37
New Jersey,58,42
New Mexico,59,41
New York,56,44
North Carolina,53,47
North Dakota,40,60
Ohio,53,47
Oklahoma,46,54
Oregon,51,49
Pennsylvania,58,42
Rhode Island,54,46
South Carolina,48,52
South Dakota,30,70
Tennessee,45,55
Texas,52,48
Utah,51,49
Vermont,55,45
Virginia,55,45
Washington,59,41
West Virginia,66,34
Wisconsin,52,48
Wyoming,50,50
