geoName,Trump,Clinton
Alabama,62,38
Alaska,66,34
Arizona,72,28
Arkansas,64,36
California,71,29
Colorado,72,28
Connecticut,71,29
Delaware,69,31
District of Columbia,72,28
Florida,71,29
Georgia,66,34
Hawaii,88,12
Idaho,74,26
Illinois,67,33
Indiana,70,30
Iowa,56,44
Kansas,69,31
Kentucky,64,36
Louisiana,67,33
Maine,76,24
Maryland,68,32
Massachusetts,70,30
Michigan,62,38
Minnesota,71,29
Mississippi,52,48
Missouri,64,36
Montana,69,31
Nebraska,66,34
Nevada,73,27
New Hampshire,70,30
New Jersey,68,32
New Mexico,71,29
New York,70,30
North Carolina,68,32
North Dakota,83,17
Ohio,66,34
Oklahoma,67,33
Oregon,67,33
Pennsylvania,75,25
Rhode Island,74,26
South Carolina,62,38
South Dakota,92,8
Tennessee,60,40
Texas,69,31
Utah,55,45
Vermont,66,34
Virginia,66,34
Washington,69,31
West Virginia,58,42
Wisconsin,66,34
Wyoming,92,8
