geoName,Trump,Clinton
Alabama,75,25
Alaska,71,29
Arizona,79,21
Arkansas,69,31
California,80,20
Colorado,79,21
Connecticut,70,30
Delaware,73,27
District of Columbia,76,24
Florida,80,20
Georgia,79,21
Hawaii,76,24
Idaho,73,27
Illinois,77,23
Indiana,76,24
Iowa,63,37
Kansas,74,26
Kentucky,77,23
Louisiana,79,21
Maine,83,17
Maryland,73,27
Massachusetts,77,23
Michigan,73,27
Minnesota,78,22
Mississippi,62,38
Missouri,72,28
Montana,81,19
Nebraska,70,30
Nevada,84,16
New Hampshire,82,18
New Jersey,79,21
New Mexico,80,20
New York,79,21
North Carolina,75,25
North Dakota,81,19
Ohio,72,28
Oklahoma,69,31
Oregon,79,21
Pennsylvania,77,23
Rhode Island,77,23
South Carolina,71,29
South Dakota,86,14
Tennessee,72,28
Texas,77,23
Utah,73,27
Vermont,80,20
Virginia,81,19
Washington,79,21
West Virginia,86,14
Wisconsin,75,25
Wyoming,79,21
