geoName,Trump,Clinton
Alabama,65,35
Alaska,69,31
Arizona,70,30
Arkansas,66,34
California,75,25
Colorado,71,29
Connecticut,67,33
Delaware,53,47
District of Columbia,73,27
Florida,73,27
Georgia,70,30
Hawaii,77,23
Idaho,78,22
Illinois,73,27
Indiana,67,33
Iowa,46,54
Kansas,64,36
Kentucky,71,29
Louisiana,62,38
Maine,61,39
Maryland,71,29
Massachusetts,73,27
Michigan,65,35
Minnesota,71,29
Mississippi,48,52
Missouri,60,40
Montana,78,22
Nebraska,68,32
Nevada,79,21
New Hampshire,69,31
New Jersey,72,28
New Mexico,71,29
New York,75,25
North Carolina,74,26
North Dakota,66,34
Ohio,64,36
Oklahoma,66,34
Oregon,75,25
Pennsylvania,76,24
Rhode Island,68,32
South Carolina,65,35
South Dakota,72,28
Tennessee,60,40
Texas,70,30
Utah,69,31
Vermont,83,17
Virginia,74,26
Washington,75,25
West Virginia,67,33
Wisconsin,70,30
Wyoming,44,56
