geoName,Trump,Clinton
Alabama,57,43
Alaska,59,41
Arizona,55,45
Arkansas,53,47
California,61,39
Colorado,57,43
Connecticut,54,46
Delaware,54,46
District of Columbia,57,43
Florida,61,39
Georgia,58,42
Hawaii,56,44
Idaho,61,39
Illinois,56,44
Indiana,56,44
Iowa,54,46
Kansas,56,44
Kentucky,54,46
Louisiana,57,43
Maine,71,29
Maryland,62,38
Massachusetts,59,41
Michigan,56,44
Minnesota,60,40
Mississippi,54,46
Missouri,57,43
Montana,49,51
Nebraska,55,45
Nevada,63,37
New Hampshire,66,34
New Jersey,60,40
New Mexico,54,46
New York,61,39
North Carolina,57,43
North Dakota,58,42
Ohio,58,42
Oklahoma,53,47
Oregon,63,37
Pennsylvania,61,39
Rhode Island,62,38
South Carolina,55,45
South Dakota,54,46
Tennessee,53,47
Texas,58,42
Utah,57,43
Vermont,60,40
Virginia,61,39
Washington,61,39
West Virginia,57,43
Wisconsin,60,40
Wyoming,65,35
