geoName,Trump,Clinton
Alabama,70,30
Alaska,82,18
Arizona,74,26
Arkansas,67,33
California,77,23
Colorado,75,25
Connecticut,67,33
Delaware,79,21
District of Columbia,76,24
Florida,75,25
Georgia,73,27
Hawaii,76,24
Idaho,73,27
Illinois,73,27
Indiana,71,29
Iowa,53,47
Kansas,73,27
Kentucky,73,27
Louisiana,73,27
Maine,80,20
Maryland,71,29
Massachusetts,74,26
Michigan,63,37
Minnesota,77,23
Mississippi,42,58
Missouri,71,29
Montana,73,27
Nebraska,63,37
Nevada,72,28
New Hampshire,70,30
New Jersey,75,25
New Mexico,70,30
New York,75,25
North Carolina,75,25
North Dakota,70,30
Ohio,68,32
Oklahoma,60,40
Oregon,76,24
Pennsylvania,73,27
Rhode Island,70,30
South Carolina,69,31
South Dakota,75,25
Tennessee,63,37
Texas,73,27
Utah,69,31
Vermont,86,14
Virginia,77,23
Washington,76,24
West Virginia,72,28
Wisconsin,76,24
Wyoming,45,55
