geoName,Trump,Clinton
Alabama,68,32
Alaska,67,33
Arizona,70,30
Arkansas,65,35
California,72,28
Colorado,79,21
Connecticut,63,37
Delaware,70,30
District of Columbia,70,30
Florida,70,30
Georgia,68,32
Hawaii,75,25
Idaho,72,28
Illinois,69,31
Indiana,70,30
Iowa,62,38
Kansas,64,36
Kentucky,69,31
Louisiana,67,33
Maine,77,23
Maryland,68,32
Massachusetts,71,29
Michigan,66,34
Minnesota,74,26
Mississippi,52,48
Missouri,68,32
Montana,74,26
Nebraska,68,32
Nevada,67,33
New Hampshire,76,24
New Jersey,70,30
New Mexico,73,27
New York,70,30
North Carolina,64,36
North Dakota,68,32
Ohio,68,32
Oklahoma,65,35
Oregon,73,27
Pennsylvania,69,31
Rhode Island,68,32
South Carolina,65,35
South Dakota,56,44
Tennessee,66,34
Texas,69,31
Utah,65,35
Vermont,69,31
Virginia,68,32
Washington,74,26
West Virginia,65,35
Wisconsin,73,27
Wyoming,71,29
