geoName,Trump,Clinton
Alabama,67,33
Alaska,61,39
Arizona,67,33
Arkansas,72,28
California,69,31
Colorado,67,33
Connecticut,56,44
Delaware,67,33
District of Columbia,66,34
Florida,66,34
Georgia,68,32
Hawaii,82,18
Idaho,65,35
Illinois,66,34
Indiana,63,37
Iowa,56,44
Kansas,75,25
Kentucky,59,41
Louisiana,69,31
Maine,56,44
Maryland,65,35
Massachusetts,61,39
Michigan,59,41
Minnesota,63,37
Mississippi,42,58
Missouri,61,39
Montana,79,21
Nebraska,62,38
Nevada,67,33
New Hampshire,70,30
New Jersey,64,36
New Mexico,64,36
New York,67,33
North Carolina,66,34
North Dakota,61,39
Ohio,59,41
Oklahoma,68,32
Oregon,69,31
Pennsylvania,68,32
Rhode Island,57,43
South Carolina,65,35
South Dakota,80,20
Tennessee,59,41
Texas,67,33
Utah,50,50
Vermont,66,34
Virginia,66,34
Washington,63,37
West Virginia,80,20
Wisconsin,60,40
Wyoming,60,40
