geoName,Trump,Clinton
Alabama,72,28
Alaska,69,31
Arizona,75,25
Arkansas,79,21
California,77,23
Colorado,71,29
Connecticut,57,43
Delaware,77,23
District of Columbia,58,42
Florida,73,27
Georgia,74,26
Hawaii,58,42
Idaho,70,30
Illinois,69,31
Indiana,73,27
Iowa,63,37
Kansas,73,27
Kentucky,81,19
Louisiana,75,25
Maine,69,31
Maryland,69,31
Massachusetts,77,23
Michigan,69,31
Minnesota,73,27
Mississippi,41,59
Missouri,62,38
Montana,66,34
Nebraska,84,16
Nevada,73,27
New Hampshire,73,27
New Jersey,74,26
New Mexico,66,34
New York,74,26
North Carolina,70,30
North Dakota,35,65
Ohio,63,37
Oklahoma,67,33
Oregon,76,24
Pennsylvania,73,27
Rhode Island,69,31
South Carolina,70,30
South Dakota,85,15
Tennessee,64,36
Texas,75,25
Utah,79,21
Vermont,69,31
Virginia,77,23
Washington,77,23
West Virginia,63,37
Wisconsin,76,24
Wyoming,42,58
