geoName,Trump,Clinton
Alabama,54,46
Alaska,61,39
Arizona,71,29
Arkansas,48,52
California,68,32
Colorado,70,30
Connecticut,61,39
Delaware,79,21
District of Columbia,59,41
Florida,68,32
Georgia,58,42
Hawaii,51,49
Idaho,68,32
Illinois,67,33
Indiana,61,39
Iowa,53,47
Kansas,62,38
Kentucky,59,41
Louisiana,68,32
Maine,51,49
Maryland,59,41
Massachusetts,66,34
Michigan,60,40
Minnesota,67,33
Mississippi,60,40
Missouri,65,35
Montana,66,34
Nebraska,58,42
Nevada,57,43
New Hampshire,68,32
New Jersey,66,34
New Mexico,67,33
New York,64,36
North Carolina,62,38
North Dakota,51,49
Ohio,62,38
Oklahoma,61,39
Oregon,67,33
Pennsylvania,63,37
Rhode Island,54,46
South Carolina,53,47
South Dakota,54,46
Tennessee,55,45
Texas,69,31
Utah,57,43
Vermont,63,37
Virginia,63,37
Washington,67,33
West Virginia,60,40
Wisconsin,61,39
Wyoming,76,24
