geoName,Trump,Clinton
Alabama,72,28
Alaska,78,22
Arizona,78,22
Arkansas,69,31
California,83,17
Colorado,77,23
Connecticut,76,24
Delaware,82,18
District of Columbia,79,21
Florida,84,16
Georgia,79,21
Hawaii,84,16
Idaho,84,16
Illinois,79,21
Indiana,76,24
Iowa,69,31
Kansas,76,24
Kentucky,80,20
Louisiana,81,19
Maine,79,21
Maryland,78,22
Massachusetts,79,21
Michigan,70,30
Minnesota,85,15
Mississippi,63,37
Missouri,73,27
Montana,73,27
Nebraska,78,22
Nevada,81,19
New Hampshire,82,18
New Jersey,82,18
New Mexico,81,19
New York,81,19
North Carolina,77,23
North Dakota,85,15
Ohio,76,24
Oklahoma,77,23
Oregon,82,18
Pennsylvania,81,19
Rhode Island,83,17
South Carolina,82,18
South Dakota,82,18
Tennessee,71,29
Texas,81,19
Utah,73,27
Vermont,77,23
Virginia,82,18
Washington,83,17
West Virginia,81,19
Wisconsin,79,21
Wyoming,81,19
