geoName,Trump,Clinton
Alabama,60,40
Alaska,75,25
Arizona,74,26
Arkansas,57,43
California,72,28
Colorado,69,31
Connecticut,55,45
Delaware,67,33
District of Columbia,59,41
Florida,67,33
Georgia,64,36
Hawaii,69,31
Idaho,75,25
Illinois,59,41
Indiana,59,41
Iowa,48,52
Kansas,53,47
Kentucky,73,27
Louisiana,56,44
Maine,70,30
Maryland,60,40
Massachusetts,66,34
Michigan,56,44
Minnesota,71,29
Mississippi,29,71
Missouri,57,43
Montana,53,47
Nebraska,67,33
Nevada,70,30
New Hampshire,50,50
New Jersey,63,37
New Mexico,72,28
New York,68,32
North Carolina,58,42
North Dakota,79,21
Ohio,58,42
Oklahoma,54,46
Oregon,69,31
Pennsylvania,71,29
Rhode Island,66,34
South Carolina,57,43
South Dakota,83,17
Tennessee,56,44
Texas,67,33
Utah,52,48
Vermont,35,65
Virginia,67,33
Washington,77,23
West Virginia,71,29
Wisconsin,64,36
Wyoming,43,57
