geoName,Trump,Clinton
Alabama,56,44
Alaska,61,39
Arizona,60,40
Arkansas,56,44
California,66,34
Colorado,64,36
Connecticut,59,41
Delaware,53,47
District of Columbia,60,40
Florida,64,36
Georgia,65,35
Hawaii,63,37
Idaho,68,32
Illinois,62,38
Indiana,64,36
Iowa,53,47
Kansas,60,40
Kentucky,60,40
Louisiana,61,39
Maine,61,39
Maryland,59,41
Massachusetts,62,38
Michigan,57,43
Minnesota,60,40
Mississippi,52,48
Missouri,59,41
Montana,63,37
Nebraska,58,42
Nevada,70,30
New Hampshire,59,41
New Jersey,64,36
New Mexico,62,38
New York,64,36
North Carolina,60,40
North Dakota,69,31
Ohio,62,38
Oklahoma,55,45
Oregon,67,33
Pennsylvania,64,36
Rhode Island,70,30
South Carolina,57,43
South Dakota,70,30
Tennessee,58,42
Texas,64,36
Utah,57,43
Vermont,69,31
Virginia,65,35
Washington,68,32
West Virginia,62,38
Wisconsin,62,38
Wyoming,66,34
