geoName,Trump,Clinton
Alabama,72,28
Alaska,87,13
Arizona,80,20
Arkansas,68,32
California,81,19
Colorado,79,21
Connecticut,73,27
Delaware,85,15
District of Columbia,71,29
Florida,80,20
Georgia,76,24
Hawaii,85,15
Idaho,84,16
Illinois,76,24
Indiana,77,23
Iowa,57,43
Kansas,68,32
Kentucky,73,27
Louisiana,82,18
Maine,82,18
Maryland,74,26
Massachusetts,78,22
Michigan,73,27
Minnesota,84,16
Mississippi,47,53
Missouri,72,28
Montana,72,28
Nebraska,75,25
Nevada,87,13
New Hampshire,88,12
New Jersey,81,19
New Mexico,85,15
New York,80,20
North Carolina,75,25
North Dakota,82,18
Ohio,71,29
Oklahoma,68,32
Oregon,80,20
Pennsylvania,83,17
Rhode Island,83,17
South Carolina,79,21
South Dakota,91,9
Tennessee,68,32
Texas,82,18
Utah,72,28
Vermont,79,21
Virginia,82,18
Washington,87,13
West Virginia,76,24
Wisconsin,73,27
Wyoming,81,19
