geoName,Trump,Clinton
Alabama,67,33
Alaska,75,25
Arizona,75,25
Arkansas,69,31
California,74,26
Colorado,74,26
Connecticut,75,25
Delaware,77,23
District of Columbia,73,27
Florida,72,28
Georgia,77,23
Hawaii,81,19
Idaho,74,26
Illinois,73,27
Indiana,69,31
Iowa,69,31
Kansas,71,29
Kentucky,74,26
Louisiana,71,29
Maine,77,23
Maryland,72,28
Massachusetts,71,29
Michigan,73,27
Minnesota,74,26
Mississippi,44,56
Missouri,64,36
Montana,60,40
Nebraska,75,25
Nevada,68,32
New Hampshire,75,25
New Jersey,69,31
New Mexico,78,22
New York,69,31
North Carolina,70,30
North Dakota,82,18
Ohio,70,30
Oklahoma,61,39
Oregon,71,29
Pennsylvania,72,28
Rhode Island,68,32
South Carolina,68,32
South Dakota,51,49
Tennessee,68,32
Texas,72,28
Utah,74,26
Vermont,75,25
Virginia,76,24
Washington,77,23
West Virginia,66,34
Wisconsin,80,20
Wyoming,77,23
