geoName,Trump,Clinton
Alabama,73,27
Alaska,59,41
Arizona,73,27
Arkansas,50,50
California,72,28
Colorado,68,32
Connecticut,47,53
Delaware,89,11
District of Columbia,62,38
Florida,71,29
Georgia,72,28
Hawaii,81,19
Idaho,81,19
Illinois,65,35
Indiana,79,21
Iowa,57,43
Kansas,96,4
Kentucky,67,33
Louisiana,74,26
Maine,65,35
Maryland,63,37
Massachusetts,66,34
Michigan,63,37
Minnesota,75,25
Mississippi,48,52
Missouri,67,33
Montana,71,29
Nebraska,52,48
Nevada,68,32
New Hampshire,67,33
New Jersey,66,34
New Mexico,80,20
New York,68,32
North Carolina,71,29
North Dakota,52,48
Ohio,52,48
Oklahoma,45,55
Oregon,69,31
Pennsylvania,66,34
Rhode Island,69,31
South Carolina,68,32
South Dakota,59,41
Tennessee,65,35
Texas,68,32
Utah,62,38
Vermont,77,23
Virginia,70,30
Washington,70,30
West Virginia,75,25
Wisconsin,61,39
Wyoming,0,0
