geoName,Trump,Clinton
Alabama,55,45
Alaska,69,31
Arizona,61,39
Arkansas,43,57
California,57,43
Colorado,57,43
Connecticut,47,53
Delaware,55,45
District of Columbia,57,43
Florida,56,44
Georgia,55,45
Hawaii,67,33
Idaho,48,52
Illinois,56,44
Indiana,57,43
Iowa,45,55
Kansas,60,40
Kentucky,50,50
Louisiana,56,44
Maine,57,43
Maryland,58,42
Massachusetts,58,42
Michigan,61,39
Minnesota,54,46
Mississippi,44,56
Missouri,53,47
Montana,66,34
Nebraska,46,54
Nevada,59,41
New Hampshire,61,39
New Jersey,58,42
New Mexico,72,28
New York,55,45
North Carolina,53,47
North Dakota,58,42
Ohio,53,47
Oklahoma,55,45
Oregon,57,43
Pennsylvania,56,44
Rhode Island,60,40
South Carolina,52,48
South Dakota,60,40
Tennessee,49,51
Texas,55,45
Utah,55,45
Vermont,75,25
Virginia,57,43
Washington,62,38
West Virginia,59,41
Wisconsin,60,40
Wyoming,53,47
