geoName,Trump,Clinton
Alabama,72,28
Alaska,74,26
Arizona,76,24
Arkansas,67,33
California,77,23
Colorado,76,24
Connecticut,68,32
Delaware,72,28
District of Columbia,77,23
Florida,74,26
Georgia,74,26
Hawaii,69,31
Idaho,78,22
Illinois,75,25
Indiana,71,29
Iowa,58,42
Kansas,70,30
Kentucky,72,28
Louisiana,73,27
Maine,76,24
Maryland,73,27
Massachusetts,78,22
Michigan,70,30
Minnesota,75,25
Mississippi,62,38
Missouri,73,27
Montana,60,40
Nebraska,66,34
Nevada,69,31
New Hampshire,74,26
New Jersey,71,29
New Mexico,72,28
New York,74,26
North Carolina,71,29
North Dakota,69,31
Ohio,71,29
Oklahoma,73,27
Oregon,76,24
Pennsylvania,75,25
Rhode Island,79,21
South Carolina,71,29
South Dakota,81,19
Tennessee,71,29
Texas,72,28
Utah,75,25
Vermont,82,18
Virginia,76,24
Washington,77,23
West Virginia,73,27
Wisconsin,75,25
Wyoming,68,32
