geoName,Trump,Clinton
Alabama,67,33
Alaska,68,32
Arizona,75,25
Arkansas,68,32
California,77,23
Colorado,76,24
Connecticut,68,32
Delaware,75,25
District of Columbia,74,26
Florida,72,28
Georgia,68,32
Hawaii,84,16
Idaho,69,31
Illinois,73,27
Indiana,69,31
Iowa,64,36
Kansas,69,31
Kentucky,74,26
Louisiana,74,26
Maine,73,27
Maryland,73,27
Massachusetts,74,26
Michigan,70,30
Minnesota,73,27
Mississippi,61,39
Missouri,72,28
Montana,68,32
Nebraska,70,30
Nevada,71,29
New Hampshire,77,23
New Jersey,73,27
New Mexico,78,22
New York,75,25
North Carolina,65,35
North Dakota,77,23
Ohio,68,32
Oklahoma,64,36
Oregon,78,22
Pennsylvania,75,25
Rhode Island,78,22
South Carolina,71,29
South Dakota,63,37
Tennessee,64,36
Texas,72,28
Utah,74,26
Vermont,82,18
Virginia,75,25
Washington,76,24
West Virginia,67,33
Wisconsin,74,26
Wyoming,62,38
