geoName,Trump,Clinton
Alabama,69,31
Alaska,58,42
Arizona,70,30
Arkansas,56,44
California,67,33
Colorado,62,38
Connecticut,57,43
Delaware,74,26
District of Columbia,61,39
Florida,68,32
Georgia,66,34
Hawaii,54,46
Idaho,48,52
Illinois,62,38
Indiana,61,39
Iowa,48,52
Kansas,61,39
Kentucky,60,40
Louisiana,66,34
Maine,67,33
Maryland,68,32
Massachusetts,66,34
Michigan,60,40
Minnesota,66,34
Mississippi,67,33
Missouri,60,40
Montana,58,42
Nebraska,54,46
Nevada,57,43
New Hampshire,62,38
New Jersey,62,38
New Mexico,51,49
New York,64,36
North Carolina,61,39
North Dakota,90,10
Ohio,57,43
Oklahoma,57,43
Oregon,63,37
Pennsylvania,66,34
Rhode Island,47,53
South Carolina,60,40
South Dakota,90,10
Tennessee,57,43
Texas,64,36
Utah,67,33
Vermont,74,26
Virginia,68,32
Washington,64,36
West Virginia,51,49
Wisconsin,68,32
Wyoming,29,71
