geoName,Trump,Clinton
Alabama,55,45
Alaska,46,54
Arizona,58,42
Arkansas,49,51
California,62,38
Colorado,58,42
Connecticut,57,43
Delaware,60,40
District of Columbia,57,43
Florida,62,38
Georgia,61,39
Hawaii,69,31
Idaho,53,47
Illinois,58,42
Indiana,56,44
Iowa,44,56
Kansas,55,45
Kentucky,49,51
Louisiana,56,44
Maine,70,30
Maryland,60,40
Massachusetts,60,40
Michigan,59,41
Minnesota,59,41
Mississippi,41,59
Missouri,54,46
Montana,62,38
Nebraska,60,40
Nevada,65,35
New Hampshire,65,35
New Jersey,64,36
New Mexico,64,36
New York,60,40
North Carolina,57,43
North Dakota,44,56
Ohio,58,42
Oklahoma,54,46
Oregon,60,40
Pennsylvania,63,37
Rhode Island,60,40
South Carolina,56,44
South Dakota,53,47
Tennessee,51,49
Texas,60,40
Utah,60,40
Vermont,62,38
Virginia,59,41
Washington,62,38
West Virginia,55,45
Wisconsin,59,41
Wyoming,51,49
