geoName,Trump,Clinton
Alabama,67,33
Alaska,69,31
Arizona,71,29
Arkansas,67,33
California,75,25
Colorado,75,25
Connecticut,67,33
Delaware,68,32
District of Columbia,69,31
Florida,75,25
Georgia,71,29
Hawaii,72,28
Idaho,69,31
Illinois,71,29
Indiana,68,32
Iowa,59,41
Kansas,69,31
Kentucky,72,28
Louisiana,72,28
Maine,68,32
Maryland,69,31
Massachusetts,73,27
Michigan,69,31
Minnesota,74,26
Mississippi,56,44
Missouri,67,33
Montana,73,27
Nebraska,73,27
Nevada,66,34
New Hampshire,75,25
New Jersey,70,30
New Mexico,72,28
New York,71,29
North Carolina,69,31
North Dakota,75,25
Ohio,70,30
Oklahoma,67,33
Oregon,74,26
Pennsylvania,73,27
Rhode Island,70,30
South Carolina,68,32
South Dakota,71,29
Tennessee,68,32
Texas,69,31
Utah,71,29
Vermont,78,22
Virginia,70,30
Washington,72,28
West Virginia,70,30
Wisconsin,72,28
Wyoming,61,39
