geoName,Trump,Clinton
Alabama,76,24
Alaska,73,27
Arizona,85,15
Arkansas,75,25
California,83,17
Colorado,77,23
Connecticut,69,31
Delaware,72,28
District of Columbia,74,26
Florida,80,20
Georgia,79,21
Hawaii,74,26
Idaho,77,23
Illinois,78,22
Indiana,75,25
Iowa,64,36
Kansas,82,18
Kentucky,71,29
Louisiana,76,24
Maine,73,27
Maryland,71,29
Massachusetts,76,24
Michigan,66,34
Minnesota,72,28
Mississippi,47,53
Missouri,66,34
Montana,85,15
Nebraska,76,24
Nevada,77,23
New Hampshire,73,27
New Jersey,77,23
New Mexico,83,17
New York,77,23
North Carolina,75,25
North Dakota,75,25
Ohio,73,27
Oklahoma,70,30
Oregon,79,21
Pennsylvania,76,24
Rhode Island,78,22
South Carolina,69,31
South Dakota,78,22
Tennessee,68,32
Texas,81,19
Utah,76,24
Vermont,44,56
Virginia,78,22
Washington,82,18
West Virginia,64,36
Wisconsin,74,26
Wyoming,76,24
