geoName,Trump,Clinton
Alabama,60,40
Alaska,66,34
Arizona,72,28
Arkansas,55,45
California,72,28
Colorado,71,29
Connecticut,59,41
Delaware,73,27
District of Columbia,69,31
Florida,67,33
Georgia,69,31
Hawaii,76,24
Idaho,57,43
Illinois,66,34
Indiana,64,36
Iowa,46,54
Kansas,67,33
Kentucky,58,42
Louisiana,68,32
Maine,62,38
Maryland,65,35
Massachusetts,68,32
Michigan,58,42
Minnesota,70,30
Mississippi,52,48
Missouri,57,43
Montana,63,37
Nebraska,61,39
Nevada,71,29
New Hampshire,65,35
New Jersey,69,31
New Mexico,69,31
New York,64,36
North Carolina,63,37
North Dakota,61,39
Ohio,59,41
Oklahoma,46,54
Oregon,72,28
Pennsylvania,68,32
Rhode Island,83,17
South Carolina,58,42
South Dakota,76,24
Tennessee,53,47
Texas,69,31
Utah,56,44
Vermont,80,20
Virginia,67,33
Washington,77,23
West Virginia,66,34
Wisconsin,71,29
Wyoming,83,17
