geoName,Trump,Clinton
Alabama,62,38
Alaska,38,62
Arizona,64,36
Arkansas,44,56
California,64,36
Colorado,64,36
Connecticut,60,40
Delaware,58,42
District of Columbia,63,37
Florida,65,35
Georgia,63,37
Hawaii,56,44
Idaho,63,37
Illinois,62,38
Indiana,65,35
Iowa,46,54
Kansas,58,42
Kentucky,60,40
Louisiana,64,36
Maine,58,42
Maryland,59,41
Massachusetts,62,38
Michigan,60,40
Minnesota,71,29
Mississippi,65,35
Missouri,56,44
Montana,57,43
Nebraska,59,41
Nevada,61,39
New Hampshire,59,41
New Jersey,66,34
New Mexico,62,38
New York,62,38
North Carolina,60,40
North Dakota,58,42
Ohio,58,42
Oklahoma,57,43
Oregon,62,38
Pennsylvania,64,36
Rhode Island,66,34
South Carolina,55,45
South Dakota,74,26
Tennessee,58,42
Texas,62,38
Utah,60,40
Vermont,65,35
Virginia,67,33
Washington,61,39
West Virginia,69,31
Wisconsin,66,34
Wyoming,53,47
