geoName,Trump,Clinton
Alabama,72,28
Alaska,77,23
Arizona,73,27
Arkansas,65,35
California,76,24
Colorado,77,23
Connecticut,67,33
Delaware,67,33
District of Columbia,75,25
Florida,76,24
Georgia,74,26
Hawaii,79,21
Idaho,70,30
Illinois,72,28
Indiana,69,31
Iowa,60,40
Kansas,69,31
Kentucky,69,31
Louisiana,71,29
Maine,68,32
Maryland,74,26
Massachusetts,73,27
Michigan,66,34
Minnesota,77,23
Mississippi,61,39
Missouri,68,32
Montana,80,20
Nebraska,78,22
Nevada,77,23
New Hampshire,68,32
New Jersey,74,26
New Mexico,73,27
New York,71,29
North Carolina,71,29
North Dakota,77,23
Ohio,68,32
Oklahoma,65,35
Oregon,71,29
Pennsylvania,72,28
Rhode Island,72,28
South Carolina,67,33
South Dakota,71,29
Tennessee,69,31
Texas,73,27
Utah,67,33
Vermont,70,30
Virginia,74,26
Washington,73,27
West Virginia,78,22
Wisconsin,72,28
Wyoming,55,45
