geoName,Trump,Clinton
Alabama,68,32
Alaska,71,29
Arizona,63,37
Arkansas,55,45
California,67,33
Colorado,63,37
Connecticut,61,39
Delaware,51,49
District of Columbia,62,38
Florida,60,40
Georgia,65,35
Hawaii,71,29
Idaho,57,43
Illinois,57,43
Indiana,60,40
Iowa,41,59
Kansas,59,41
Kentucky,60,40
Louisiana,67,33
Maine,57,43
Maryland,53,47
Massachusetts,58,42
Michigan,52,48
Minnesota,55,45
Mississippi,43,57
Missouri,54,46
Montana,86,14
Nebraska,64,36
Nevada,74,26
New Hampshire,78,22
New Jersey,64,36
New Mexico,64,36
New York,63,37
North Carolina,62,38
North Dakota,61,39
Ohio,51,49
Oklahoma,59,41
Oregon,66,34
Pennsylvania,70,30
Rhode Island,58,42
South Carolina,52,48
South Dakota,61,39
Tennessee,46,54
Texas,64,36
Utah,45,55
Vermont,45,55
Virginia,68,32
Washington,62,38
West Virginia,79,21
Wisconsin,61,39
Wyoming,34,66
